sec,nsec,x,y,z
2196,27000000,0.500874,-0.494337,0.00782341
2196,61000000,0.500875,-0.494337,0.00782716
2196,95000000,0.500877,-0.494337,0.00784147
2196,129000000,0.500878,-0.494337,0.00784246
2196,163000000,0.500879,-0.494337,0.00784065
2196,197000000,0.50088,-0.494337,0.00781852
2196,231000000,0.500881,-0.494337,0.00782342
2196,265000000,0.500883,-0.494337,0.00783857
2196,299000000,0.500884,-0.494337,0.00784534
2196,333000000,0.500885,-0.494337,0.00783356
2196,367000000,0.500886,-0.494337,0.0078283
2196,401000000,0.500887,-0.494337,0.00781799
2196,435000000,0.500888,-0.494337,0.00782464
2196,469000000,0.50089,-0.494337,0.00783872
2196,503000000,0.500891,-0.494337,0.00784587
2196,537000000,0.500892,-0.494337,0.00784276
2196,571000000,0.500893,-0.494336,0.00782257
2196,605000000,0.500894,-0.494336,0.00781844
2196,639000000,0.500896,-0.494336,0.00782353
2196,673000000,0.500897,-0.494336,0.00783188
2196,707000000,0.500898,-0.494336,0.00784435
2196,741000000,0.500899,-0.494336,0.00784079
2196,775000000,0.5009,-0.494336,0.00783877
2196,809000000,0.500901,-0.494336,0.00783982
2196,843000000,0.500903,-0.494336,0.00783256
2196,877000000,0.500904,-0.494336,0.00782442
2196,911000000,0.500905,-0.494336,0.00781958
2196,945000000,0.500906,-0.494336,0.00782206
2196,979000000,0.500907,-0.494336,0.00783294
2197,13000000,0.500909,-0.494336,0.00784361
2197,47000000,0.50091,-0.494336,0.00783943
2197,81000000,0.500911,-0.494335,0.00784
2197,115000000,0.500912,-0.494335,0.00781853
2197,149000000,0.500913,-0.494335,0.00782343
2197,183000000,0.500915,-0.494335,0.00783187
2197,217000000,0.500916,-0.494335,0.00784405
2197,251000000,0.500917,-0.494335,0.00784308
2197,285000000,0.500918,-0.494335,0.00782256
2197,319000000,0.500919,-0.494335,0.00781844
2197,353000000,0.500921,-0.494335,0.00782354
2197,387000000,0.500922,-0.494335,0.00783859
2197,421000000,0.500923,-0.494335,0.00784492
2197,455000000,0.500924,-0.494335,0.00784326
2197,489000000,0.500925,-0.494335,0.00782258
2197,523000000,0.500927,-0.494335,0.00781908
2197,557000000,0.500928,-0.494335,0.00783531
2197,591000000,0.500929,-0.494335,0.00783922
2197,625000000,0.50093,-0.494335,0.00784559
2197,659000000,0.500931,-0.494334,0.00783506
2197,693000000,0.500932,-0.494334,0.00782406
2197,727000000,0.500934,-0.494334,0.00781947
2197,761000000,0.500935,-0.494334,0.00782822
2197,795000000,0.500936,-0.494334,0.00784188
2197,829000000,0.500937,-0.494334,0.00784042
2197,863000000,0.500938,-0.494334,0.00783826
2197,897000000,0.50094,-0.494334,0.00784574
2197,931000000,0.500941,-0.494334,0.00784238
2197,965000000,0.500942,-0.494334,0.00782197
2197,999000000,0.500943,-0.494334,0.00782064
2198,33000000,0.500944,-0.494334,0.00781752
2198,67000000,0.500946,-0.494334,0.00781659
2198,101000000,0.500947,-0.494334,0.00783181
2198,135000000,0.500948,-0.494334,0.00784347
2198,169000000,0.500949,-0.494334,0.00784304
2198,203000000,0.50095,-0.494334,0.00782257
2198,237000000,0.500951,-0.494334,0.00781908
2198,271000000,0.500953,-0.494334,0.00783532
2198,305000000,0.500954,-0.494333,0.00784484
2198,339000000,0.500955,-0.494333,0.0078387
2198,373000000,0.500956,-0.494333,0.00783114
2198,407000000,0.500957,-0.494333,0.0078183
2198,441000000,0.500959,-0.494333,0.00782593
2198,475000000,0.50096,-0.494333,0.00784647
2198,509000000,0.500961,-0.494333,0.00784266
2198,543000000,0.500962,-0.494333,0.00784151
2198,577000000,0.500963,-0.494333,0.00781638
2198,611000000,0.500965,-0.494333,0.00781802
2198,645000000,0.500966,-0.494333,0.00782113
2198,679000000,0.500967,-0.494333,0.00782404
2198,713000000,0.500968,-0.494332,0.00783789
2198,747000000,0.500969,-0.494332,0.00784099
2198,781000000,0.500971,-0.494332,0.00784543
2198,815000000,0.500972,-0.494332,0.0078429
2198,849000000,0.500973,-0.494332,0.00784038
2198,883000000,0.500974,-0.494332,0.00784096
2198,917000000,0.500975,-0.494332,0.00783666
2198,951000000,0.500976,-0.494332,0.00782152
2198,985000000,0.500978,-0.494332,0.0078172
2199,19000000,0.500979,-0.494332,0.0078187
2199,53000000,0.50098,-0.494332,0.00782021
2199,87000000,0.500981,-0.494332,0.00782266
